# date,value
2019-01-01,410.60
2019-02-01,411.76
2019-03-01,412.69
2019-04-01,413.52
2019-05-01,414.66
2019-06-01,414.34
2019-07-01,412.10
2019-08-01,410.76
2019-09-01,408.54
2019-10-01,409.29
2019-11-01,410.58
2019-12-01,411.76
2020-01-01,413.39
2020-02-01,414.11
2020-03-01,414.50
2020-04-01,416.45
2020-05-01,417.31
2020-06-01,416.39
2020-07-01,414.38
2020-08-01,412.55
2020-09-01,411.29
2020-10-01,412.20
2020-11-01,413.76
2020-12-01,414.27
